Actual Price,Predicted Price,Error
65,70.9472,-5.947196960449219
60,68.668434,-8.668434143066406
400,328.5758,71.4241943359375
200,223.94151,-23.941513061523438
75,91.13558,-16.135581970214844
50,70.40573,-20.405731201171875
52,111.62375,-59.623748779296875
126,151.61668,-25.616683959960938
29,55.573032,-26.57303237915039
33,53.086876,-20.086875915527344
110,164.54366,-54.54365539550781
35,86.10762,-51.10762023925781
90,121.77699,-31.776992797851562
100,115.55486,-15.554862976074219
70,113.8115,-43.811500549316406
220,230.10518,-10.105178833007812
80,137.08815,-57.08815002441406
275,170.4579,104.54209899902344
495,214.83571,280.16429138183594
55,65.582855,-10.582855224609375
249,166.13704,82.86296081542969
55,63.18609,-8.186088562011719
35,44.651062,-9.65106201171875
179,138.67087,40.329132080078125
250,205.89204,44.10795593261719
70,69.013664,0.9863357543945312
60,127.37778,-67.37777709960938
41,59.8964,-18.896400451660156
70,56.338726,13.661273956298828
50,86.77469,-36.774688720703125
50,62.229763,-12.22976303100586
50,73.72742,-23.7274169921875
275,223.12119,51.878814697265625
90,83.71678,6.2832183837890625
180,207.3383,-27.338302612304688
100,150.09666,-50.09666442871094
198,162.54718,35.45281982421875
75,63.002716,11.997283935546875
59,65.72237,-6.7223663330078125
150,119.60646,30.393539428710938
145,221.6516,-76.65159606933594
49,58.809982,-9.809982299804688
300,226.62672,73.37327575683594
225,181.55498,43.44502258300781
199,193.7801,5.2198944091796875
164,193.91142,-29.911422729492188
250,227.8552,22.144805908203125
99,70.920296,28.07970428466797
195,269.3225,-74.322509765625
500,308.5962,191.40380859375
45,45.67722,-0.6772193908691406
140,118.892075,21.107925415039062
200,207.75143,-7.751434326171875
80,108.92591,-28.92591094970703
49,61.618412,-12.618412017822266
35,55.068943,-20.06894302368164
67,76.556625,-9.556625366210938
27,54.39928,-27.399280548095703
239,285.1507,-46.15069580078125
45,67.57785,-22.577850341796875
49,59.884384,-10.884384155273438
50,33.958958,16.04104232788086
148,150.59262,-2.592620849609375
27,49.232555,-22.232555389404297
42,56.383907,-14.383907318115234
250,201.71498,48.28501892089844
169,137.09787,31.902130126953125
120,144.7544,-24.75439453125
69,57.666866,11.333133697509766
250,200.92798,49.072021484375
90,122.79826,-32.79826354980469
500,305.64087,194.359130859375
150,124.99109,25.0089111328125
195,158.42418,36.57582092285156
99,116.90645,-17.906448364257812
90,92.04436,-2.0443572998046875
70,94.63191,-24.631912231445312
40,79.90012,-39.900123596191406
120,188.70612,-68.70611572265625
235,274.9628,-39.962799072265625
40,47.025024,-7.0250244140625
45,56.687622,-11.6876220703125
250,242.59769,7.402313232421875
65,63.366264,1.6337356567382812
60,74.068535,-14.068534851074219
65,67.7712,-2.7712020874023438
36,47.73563,-11.73563003540039
65,76.547676,-11.547676086425781
250,174.58904,75.41096496582031
150,204.90094,-54.90093994140625
160,128.35818,31.641815185546875
95,80.84317,14.156829833984375
150,227.27852,-77.27851867675781
80,85.96538,-5.9653778076171875
125,241.09286,-116.09286499023438
215,187.12524,27.874755859375
100,129.41109,-29.411087036132812
189,193.64465,-4.6446533203125
60,97.2921,-37.29209899902344
125,151.44305,-26.44305419921875
168,184.76323,-16.763229370117188
40,50.14749,-10.147491455078125
72,125.650795,-53.650794982910156
100,57.769337,42.23066329956055
425,360.88214,64.11785888671875
95,65.05923,29.940773010253906
190,201.40329,-11.403289794921875
145,212.24849,-67.24848937988281
125,176.49356,-51.493560791015625
115,121.11612,-6.116119384765625
75,99.992676,-24.99267578125
69,75.90515,-6.9051513671875
110,127.27242,-17.272422790527344
180,160.307,19.6929931640625
60,68.08326,-8.083259582519531
180,145.73021,34.26979064941406
750,373.03787,376.9621276855469
50,68.39601,-18.396011352539062
85,58.778835,26.22116470336914
60,102.96918,-42.96917724609375
65,58.6285,6.371498107910156
32,43.58412,-11.584121704101562
67,92.29469,-25.294692993164062
100,178.71654,-78.71653747558594
60,62.758213,-2.7582130432128906
133,96.70146,36.29853820800781
165,179.38043,-14.38043212890625
350,260.18204,89.81796264648438
65,103.77327,-38.77326965332031
40,65.23678,-25.236778259277344
215,167.55142,47.448577880859375
198,292.67224,-94.6722412109375
75,195.2053,-120.20530700683594
63,65.00989,-2.0098876953125
150,89.18176,60.8182373046875
65,648.8744,-583.8743896484375
46,49.038757,-3.03875732421875
175,204.93277,-29.932769775390625
115,173.48134,-58.48133850097656
85,110.82467,-25.824668884277344
110,129.9849,-19.984893798828125
38,63.050762,-25.050762176513672
112,81.86776,30.132240295410156
120,219.34985,-99.349853515625
99,81.91188,17.088119506835938
60,87.60428,-27.604278564453125
160,164.78487,-4.7848663330078125
65,62.883984,2.116016387939453
75,73.27199,1.7280120849609375
155,113.12601,41.873992919921875
225,343.03082,-118.03082275390625
34,88.13403,-54.134033203125
350,177.83733,172.1626739501953
90,142.30957,-52.3095703125
48,55.85685,-7.856849670410156
155,122.09063,32.90937042236328
189,142.65726,46.342742919921875
200,285.47693,-85.4769287109375
65,63.588715,1.411285400390625
195,194.12564,0.874359130859375
175,125.95493,49.045066833496094
55,49.42987,5.57012939453125
70,79.73328,-9.7332763671875
59,91.98496,-32.984962463378906
47,44.203247,2.7967529296875
240,164.51799,75.48200988769531
150,117.35591,32.64408874511719
40,57.92172,-17.92171859741211
275,227.71082,47.2891845703125
159,148.88411,10.115890502929688
250,215.4803,34.51969909667969
34,55.02994,-21.02994155883789
250,205.33125,44.66874694824219
